Timestamp,Temperature (C),Humidity (%)
2026-06-06 18:38:34,35.9,60.4
2026-06-06 18:38:36,35.9,60.4
2026-06-06 18:38:38,35.9,60.4
2026-06-06 18:38:40,35.9,60.4
2026-06-06 18:38:42,35.9,60.4
2026-06-06 18:39:07,36.0,60.1
2026-06-06 18:39:36,36.0,60.1
2026-06-06 18:39:36,36.0,60.0
2026-06-06 18:39:36,36.1,59.9
2026-06-06 18:39:36,36.4,59.8
2026-06-06 18:39:36,36.7,59.6
2026-06-06 18:39:36,36.9,59.4
2026-06-06 18:40:34,36.1,59.4
2026-06-06 18:40:36,36.2,59.7
2026-06-06 18:40:39,36.2,59.7
2026-06-06 18:40:40,36.2,59.7
2026-06-06 18:40:42,36.1,59.7
2026-06-06 18:40:44,36.1,59.8
2026-06-06 18:41:36,36.1,59.8
2026-06-06 18:41:36,36.1,59.8
2026-06-06 18:41:36,36.1,59.7
2026-06-06 18:41:36,36.0,59.7
2026-06-06 18:41:36,36.0,59.7
2026-06-06 18:41:36,36.0,59.7
2026-06-06 18:41:39,35.9,60.2
2026-06-06 18:41:39,36.0,60.8
2026-06-06 18:41:41,36.0,60.7
2026-06-06 18:41:43,36.1,60.7
2026-06-06 18:41:45,36.1,60.6
2026-06-06 18:41:48,36.0,60.6
2026-06-06 18:41:50,36.0,60.5
2026-06-06 18:41:52,36.0,60.5
2026-06-06 18:41:54,36.0,60.4
2026-06-06 18:42:44,36.0,60.5
2026-06-06 18:42:52,38.0,56.4
2026-06-06 18:42:52,36.3,58.7
2026-06-06 18:42:52,36.2,58.9
2026-06-06 18:42:52,36.1,59.0
2026-06-06 18:42:52,38.0,56.4
2026-06-06 18:42:54,36.1,59.1
2026-06-06 18:42:56,36.0,59.1
2026-06-06 18:42:58,36.0,59.2
2026-06-06 18:43:00,36.0,59.3
2026-06-06 18:43:02,35.9,59.5
2026-06-06 18:43:52,35.9,59.7
2026-06-06 18:43:52,35.9,59.7
2026-06-06 18:43:52,35.8,60.2
2026-06-06 18:43:52,35.8,60.4
2026-06-06 18:43:52,35.8,60.6
2026-06-06 18:43:52,35.7,60.8
2026-06-06 18:43:55,35.8,67.9
2026-06-06 18:43:56,35.8,71.0
2026-06-06 18:43:57,35.3,63.4
2026-06-06 18:43:59,35.3,63.4
2026-06-06 18:44:01,35.3,63.4
2026-06-06 18:44:03,35.3,63.6
2026-06-06 18:44:05,35.2,63.7
2026-06-06 18:44:07,35.2,63.8
2026-06-06 18:44:09,35.2,63.9
2026-06-06 18:44:11,35.1,64.0
2026-06-06 18:44:13,35.1,64.1
2026-06-06 18:44:17,35.1,64.2
2026-06-06 18:44:19,35.0,64.2
2026-06-06 18:44:21,35.0,64.2
2026-06-06 18:44:23,35.0,64.2
2026-06-06 18:44:25,35.0,64.2
2026-06-06 18:44:27,35.0,64.3
2026-06-06 18:44:29,35.0,64.3
2026-06-06 18:44:31,35.0,64.3
2026-06-06 18:44:33,35.0,64.3
2026-06-06 18:44:37,34.9,64.6
2026-06-06 18:44:40,34.9,64.7
2026-06-06 18:44:42,34.9,64.8
2026-06-06 18:44:46,34.9,65.0
2026-06-06 18:44:48,34.9,65.2
2026-06-06 18:44:50,35.0,65.0
2026-06-06 18:44:54,35.0,65.2
2026-06-06 18:44:56,35.0,65.3
2026-06-06 18:44:58,35.0,65.4
2026-06-06 18:45:00,35.0,65.4
2026-06-06 18:45:02,35.0,65.4
2026-06-06 18:45:04,35.0,65.4
2026-06-06 18:45:06,35.1,65.5
2026-06-06 18:45:08,35.1,65.6
2026-06-06 18:45:10,35.1,65.5
2026-06-06 18:45:14,35.1,65.2
2026-06-06 18:45:16,35.1,65.1
2026-06-06 18:45:18,35.1,64.9
2026-06-06 18:45:26,35.1,64.8
2026-06-06 18:45:26,35.1,64.8
2026-06-06 18:45:26,35.1,64.6
2026-06-06 18:45:28,35.2,64.5
2026-06-06 18:45:30,35.1,64.3
2026-06-06 18:45:32,35.1,64.4
2026-06-06 18:45:34,35.1,64.3
2026-06-06 18:45:37,35.1,64.3
2026-06-06 18:45:41,35.1,64.2
2026-06-06 18:45:45,35.1,64.1
2026-06-06 18:45:47,35.1,64.1
2026-06-06 18:45:49,35.1,64.0
2026-06-06 18:45:51,35.1,64.1
2026-06-06 18:45:53,35.1,64.1
2026-06-06 18:45:55,35.1,64.1
2026-06-06 18:45:57,35.1,64.0
2026-06-06 18:45:59,35.1,64.0
2026-06-06 18:46:01,35.1,63.9
2026-06-20 16:57:44,32.0,53.0,0,0
2026-06-20 16:57:46,32.0,53.0,9,9
2026-06-20 16:57:48,32.0,53.0,9,9
2026-06-20 16:57:50,32.0,53.0,9,9
2026-06-20 16:57:52,32.0,53.0,8,9
2026-06-20 16:57:54,32.0,53.0,8,9
2026-06-20 16:57:56,32.0,53.0,8,9
2026-06-20 16:57:59,32.0,53.0,8,9
2026-06-20 16:58:01,32.0,53.0,8,9
2026-06-20 16:58:03,32.0,53.0,8,9
2026-06-20 16:58:05,32.0,53.0,8,8
2026-06-20 16:58:07,32.0,53.0,8,8
2026-06-20 16:58:09,32.0,53.0,8,8
2026-06-20 16:58:11,32.0,53.0,8,9
2026-06-20 16:58:13,32.0,53.0,8,9
2026-06-20 16:58:15,32.0,53.0,8,9
2026-06-20 16:58:18,32.0,53.0,8,9
2026-06-20 16:58:20,32.0,53.0,8,9
2026-06-20 16:58:22,32.0,53.0,7,8
2026-06-20 16:58:24,32.0,53.0,7,8
2026-06-20 16:58:26,32.0,53.0,7,8
2026-06-20 16:58:28,32.0,53.0,7,8
2026-06-20 16:58:30,32.0,53.0,7,8
2026-06-20 16:58:32,32.0,53.0,7,8
2026-06-20 16:58:35,32.0,53.0,8,9
2026-06-20 16:58:37,32.0,53.0,8,9
2026-06-20 16:58:39,32.0,53.0,8,9
