Thoi Gian,Nhiet Do (C),Do Am (%),PM2.5 (ug/m3),PM10 (ug/m3)
2026-06-20 18:32:48,34.0,62.0,35,40
2026-06-20 18:32:53,34.0,62.0,35,41
2026-06-20 18:32:58,34.0,62.0,35,40
2026-06-20 18:33:03,34.0,62.0,35,40
2026-06-20 18:33:08,34.0,62.0,35,40
2026-06-20 18:33:13,34.0,62.0,35,40
2026-06-20 18:33:18,34.0,62.0,35,41
2026-06-20 18:33:23,34.0,62.0,35,41
2026-06-20 18:33:28,34.0,62.0,35,41
2026-06-20 18:33:33,34.0,62.0,35,40
2026-06-20 18:33:38,34.0,62.0,35,40
2026-06-20 18:33:43,34.0,62.0,35,41
2026-06-20 18:33:48,34.0,62.0,35,40
2026-06-20 18:33:53,34.0,62.0,35,40
2026-06-20 18:33:58,34.0,62.0,35,40
2026-06-20 18:34:03,34.0,62.0,34,40
2026-06-20 18:34:08,34.0,62.0,34,40
2026-06-20 18:34:13,0.0,0.0,34,40
2026-06-20 18:34:18,34.0,61.0,35,40
2026-06-20 18:34:23,34.0,62.0,35,40
2026-06-20 18:34:28,34.0,62.0,35,40
2026-06-20 18:34:33,34.0,62.0,35,40
2026-06-20 18:34:38,34.0,62.0,35,40
2026-06-20 18:34:43,34.0,62.0,35,40
2026-06-20 18:34:48,34.0,62.0,35,39
2026-06-20 18:34:53,34.0,62.0,34,39
2026-06-20 18:34:58,34.0,62.0,35,39
2026-06-20 18:35:03,34.0,62.0,34,40
2026-06-20 18:35:08,34.0,62.0,35,40
2026-06-20 18:35:13,34.0,62.0,34,40
2026-06-20 18:35:18,34.0,62.0,34,39
2026-06-20 18:35:23,34.0,62.0,34,40
2026-06-20 18:35:28,34.0,62.0,34,40
2026-06-20 18:35:33,34.0,62.0,34,40
2026-06-20 18:35:38,34.0,62.0,34,40
2026-06-20 18:35:43,34.0,62.0,35,40
2026-06-20 18:35:48,34.0,62.0,35,41
2026-06-20 18:35:53,34.0,62.0,35,41
2026-06-20 18:35:58,34.0,62.0,36,41
2026-06-20 18:36:03,34.0,62.0,36,42
2026-06-20 18:36:08,34.0,62.0,36,41
2026-06-20 18:36:13,34.0,62.0,35,40
2026-06-20 18:36:18,34.0,62.0,34,39
2026-06-20 18:36:23,34.0,62.0,34,39
2026-06-20 18:36:28,34.0,62.0,34,40
2026-06-20 18:36:33,34.0,62.0,34,40
2026-06-20 18:36:38,34.0,62.0,34,40
